name_2,name_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,map_image,name_3_clean,jakarta_region,rainfall_soil_interaction,elevation_risk,vegetation_elevation_risk,extreme_weather,monsoon_season,urban_density_risk
jakarta timur,matraman,70.4,108.66,39.33,12.702,Built-up,0.16,0.132,37.605,2020,1,0,-6.2036,106.8645,RGB_Matraman2020.tif,matraman,Jakarta Timur,4086.1592999999993,0.07298204641658153,0.06130491898992848,1,1,3.6206896551724133
jakarta timur,pasarrebo,64.258,90.123,39.33,48.623,Built-up,0.26,0.252,40.561,2020,1,1,-6.3264,106.8573,RGB_Cakung2020.tif,pasarrebo,Jakarta Timur,3655.4790030000004,0.020151945670354474,0.014912439796062311,0,1,2.1022727272727275
jakarta timur,pulogadung,71.15,113.025,39.33,10.47,Built-up,0.18,0.136,37.605,2020,1,1,-6.1932,106.889,RGB_Cakung2020.tif,pulogadung,Jakarta Timur,4250.305125,0.08718395815170009,0.07149084568439408,1,1,3.4745762711864407
jakarta pusat,cempakaputih,71.772,119.409,39.51,8.401,Built-up,0.154,0.095,37.605,2020,1,0,-6.1809,106.8681,RGB_CempakaPutih2020.tif,cempakaputih,Jakarta Pusat,4490.375445,0.10637166258908627,0.08999042655036699,1,1,4.338461538461538
jakarta pusat,gambir,72.322,128.435,39.51,7.605,Built-up,0.127,0.061,37.605,2020,1,0,-6.1715,106.8181,RGB_Gambir2020.tif,gambir,Jakarta Pusat,4829.798175,0.11621150493898895,0.10145264381173735,1,1,5.422360248447204
jakarta pusat,joharbaru,71.776,119.454,39.51,8.969,Built-up,0.158,0.076,37.605,2020,1,0,-6.1821,106.8546,RGB_JoharBaru2020.tif,joharbaru,Jakarta Pusat,4492.067669999999,0.10031096398836394,0.08446183167820243,1,1,4.784090909090909
jakarta pusat,kemayoran,71.921,120.964,39.51,6.168,Built-up,0.134,0.103,37.605,2020,1,0,-6.1627,106.8558,RGB_Kemayoran2020.tif,kemayoran,Jakarta Pusat,4548.85122,0.13950892857142858,0.12081473214285715,1,1,4.266009852216748
jakarta pusat,menteng,71.052,120.722,39.51,10.741,Built-up,0.198,0.099,37.605,2020,1,0,-6.1958,106.8353,RGB_Menteng2020.tif,menteng,Jakarta Pusat,4539.75081,0.08517162081594414,0.0683076398943872,1,1,4.030150753768845
jakarta pusat,sawahbesar,82.428,139.517,39.51,7.059,Built-up,0.122,0.09,37.605,2020,1,0,-6.1539,106.8332,RGB_SawahBesar2020.tif,sawahbesar,Jakarta Pusat,5246.536784999999,0.12408487405385282,0.10894651941928278,1,1,4.621052631578947
jakarta pusat,senen,72.035,123.383,39.51,10.007,Built-up,0.193,0.092,37.605,2020,1,0,-6.1842,106.8459,RGB_Senen2020.tif,senen,Jakarta Pusat,4639.817714999999,0.09085127646043427,0.07331698010357045,1,1,4.203125
jakarta pusat,tanahabang,69.553,115.431,39.51,12.45,Built-up,0.133,0.13,37.605,2020,1,0,-6.2054,106.8094,RGB_TanahAbang2020.tif,tanahabang,Jakarta Pusat,4340.782754999999,0.07434944237918216,0.06446096654275094,1,1,3.769565217391304
jakarta barat,cengkareng,76.978,141.87,38.11,5.286,Built-up,0.17,0.059,38.781,2020,2,1,-6.1515,106.7369,RGB_Tamansari2020(2).tif,cengkareng,Jakarta Barat,5501.86047,0.15908367801463572,0.13203945275214765,1,1,5.220125786163521
jakarta barat,grogolpetamburan,79.365,146.433,38.11,6.01,Built-up,0.131,0.06,38.81,2020,2,1,-6.1634,106.7865,RGB_Tamansari2020(2).tif,grogolpetamburan,Jakarta Barat,5683.06473,0.14265335235378032,0.1239657631954351,1,1,5.4312499999999995
jakarta barat,kalideres,76.16,138.559,38.11,5.258,Built-up,0.212,0.071,38.771,2020,2,1,-6.1346,106.7039,RGB_Tamansari2020(2).tif,kalideres,Jakarta Barat,5372.070989,0.15979546180888463,0.1259188239054011,1,1,4.608187134502924
jakarta barat,kebonjeruk,78.737,145.382,38.11,10.059,Built-up,0.156,0.118,38.81,2020,2,1,-6.1895,106.7691,RGB_Tamansari2020(2).tif,kebonjeruk,Jakarta Barat,5642.275420000001,0.09042408897730356,0.0763179310968442,1,1,3.871559633027523
jakarta barat,kembangan,75.705,137.847,38.11,10.349,Built-up,0.23,0.126,38.785,2020,2,1,-6.1982,106.7418,RGB_Tamansari2020(2).tif,kembangan,Jakarta Barat,5346.395895,0.08811349017534584,0.0678473874350163,1,1,3.4070796460176993
jakarta barat,palmerah,77.481,143.191,38.11,10.559,Built-up,0.155,0.122,38.81,2020,2,0,-6.1917,106.7956,RGB_Tamansari2020(2).tif,palmerah,Jakarta Barat,5557.24271,0.08651267410675664,0.07310320962020936,1,1,3.8063063063063063
jakarta barat,tamansari,81.154,146.652,38.11,6.894,Tree cover,0.125,0.061,38.81,2020,2,0,-6.1481,106.8184,RGB_Tamansari2020(2).tif,tamansari,Jakarta Barat,5691.56412,0.12667848999239928,0.11084367874334937,1,1,5.434782608695652
jakarta barat,tambora,81.044,146.941,38.11,5.895,Built-up,0.114,0.048,38.81,2020,2,0,-6.1475,106.8035,RGB_Tambora2020.tif,tambora,Jakarta Barat,5702.780210000001,0.14503263234227703,0.12849891225525745,1,1,5.986486486486486
jakarta utara,cilincing,81.631,162.489,30.84,3.19,Built-up,0.226,0.068,38.81,2020,2,1,-6.1243,106.9421,RGB_Cilincing2020.tif,cilincing,Jakarta Utara,6306.198090000001,0.23866348448687355,0.18472553699284014,1,1,4.607142857142857
jakarta utara,kelapagading,81.202,162.242,32.47,5.514,Built-up,0.25,0.062,38.81,2020,2,1,-6.161,106.9037,RGB_KelapaGading2020.tif,kelapagading,Jakarta Utara,6296.61202,0.15351550506601166,0.11513662879950876,1,1,4.62962962962963
jakarta utara,koja,83.775,165.817,30.84,3.739,Built-up,0.145,0.063,38.81,2020,2,1,-6.1215,106.905,RGB_Koja2020.tif,koja,Jakarta Utara,6435.3577700000005,0.21101498206372654,0.1804178096644862,1,1,5.245398773006134
jakarta utara,pademangan,84.442,155.226,30.84,3.198,Built-up,0.213,0.104,38.81,2020,2,1,-6.1301,106.8381,RGB_Pademangan2020.tif,pademangan,Jakarta Utara,6024.32106,0.23820867079561694,0.18747022391615054,1,1,3.857843137254902
jakarta utara,penjaringan,79.182,144.976,28.13,3.083,Built-up,0.216,0.074,38.8,2020,2,1,-6.115,106.7639,RGB_Penjaringan2020.tif,penjaringan,Jakarta Utara,5625.068799999999,0.24491795248591722,0.19201567474895911,1,1,4.505747126436782
jakarta utara,tanjungpriok,84.45,163.942,31.91,4.06,Built-up,0.168,0.101,38.81,2020,2,1,-6.1319,106.875,RGB_TanjungPriok2020.tif,tanjungpriok,Jakarta Utara,6362.58902,0.19762845849802374,0.16442687747035575,1,1,4.1393034825870645
jakarta selatan,cilandak,74.023,132.987,38.81,37.329,Built-up,0.296,0.193,41.65,2020,2,0,-6.2927,106.7933,RGB_Cilandak2020.tif,cilandak,Jakarta Selatan,5538.908549999999,0.026089905815440007,0.018367293694069763,1,1,2.4027303754266205
jakarta selatan,jagakarsa,71.484,127.815,38.35,57.304,Built-up,0.263,0.27,41.65,2020,2,1,-6.334,106.8224,RGB_Jagakarsa2020.tif,jagakarsa,Jakarta Selatan,5323.49475,0.017151481888035124,0.012640642151481887,1,1,1.991891891891892
jakarta selatan,kebayoranbaru,76.043,141.047,37.24,22.272,Built-up,0.21,0.16,39.676,2020,2,1,-6.2447,106.8014,RGB_KebayoranBaru2020.tif,kebayoranbaru,Jakarta Selatan,5596.180772,0.042970092815400485,0.03394637332416638,1,1,3.0384615384615383
jakarta selatan,kebayoranlama,75.96,140.243,39.11,25.395,Built-up,0.213,0.143,40.288,2020,2,0,-6.2495,106.7801,RGB_KebayoranLama2020.tif,kebayoranlama,Jakarta Selatan,5650.109984,0.03788596325061565,0.029816253078234517,1,1,3.2386831275720165
jakarta selatan,mampangprapatan,75.722,140.424,37.24,21.604,Built-up,0.21,0.146,40.103,2020,2,1,-6.2523,106.821,RGB_MampangPrapatan2020.tif,mampangprapatan,Jakarta Selatan,5631.423672000001,0.04423995752964077,0.03494956644841621,1,1,3.2113821138211383
jakarta selatan,pancoran,72.819,135.475,37.24,25.372,Built-up,0.166,0.19,40.652,2020,2,1,-6.2553,106.8436,RGB_Pancoran2020.tif,pancoran,Jakarta Selatan,5507.3297,0.03791900500530866,0.03162445017442742,1,1,2.8758620689655165
